전용면적(㎡),보증금(만원),월세금(만원),건축년도,도로명,주택유형,lat,lon,cluster_label,학교까지도보시간(분),도보거리(m),대중교통시간(분),convenience_store_count,convenience_store_min_distance,subway_count,subway_min_distance,bank_count,bank_min_distance,hospital_count,hospital_min_distance,pharmacy_count,pharmacy_min_distance,school_count,school_min_distance,cafe_count,cafe_min_distance,restaurant_count,restaurant_min_distance,mart_count,mart_min_distance,parking_count,parking_min_distance,cluster,cluster_clean,cluster_name,전월세환산값,향,cctv_300m,lamp_300m,cctv_500m,lamp_500m,cctv_1000m,lamp_1000m,bus_count,nearby_bus_count(100m),nearby_bus_count(200m)
21.07,10867.5,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,10867.5,동향,19,0,40,0,143,25,14.0,1,5
21.07,10867.5,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,10867.5,동향,19,0,40,0,143,25,14.0,1,5
35.67,20125.0,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,20125.0,동향,19,0,40,0,143,25,14.0,1,5
42.61,1150.0,43.7,2018.0,영통로200번길 39,연립다세대,37.24468621,127.0587773,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,1944.5454545454545,동향,19,0,40,0,143,25,14.0,0,4
38.87,1150.0,69.0,2021.0,영통로200번길 63,연립다세대,37.24439355,127.0600847,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,2404.5454545454545,동향,19,0,40,0,143,25,14.0,1,5
21.35,12075.0,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,12075.0,동향,19,0,40,0,143,25,14.0,1,5
21.35,12075.0,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,12075.0,동향,19,0,40,0,143,25,14.0,1,5
15.09,1000.0,42.0,2014.0,서그내로53번길 3-7,다세대,37.24236467,127.0740844,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,1763.6363636363635,동향,11,44,27,85,113,103,13.0,0,4
47.7,20000.0,0.0,2015.0,서그내로 43,다세대,37.24308982,127.074183,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,20000.0,서향,11,44,27,85,113,103,13.0,2,2
23.05,4000.0,60.0,2022.0,서그내로 61,다세대,37.24216795,127.0724701,13,17,1727,18,3,39,0,,0,,0,,0,,1,112.0,7,28,15,107.0,0,,0.0,,11.0,1.0,서그내로 61,5090.909090909091,Unknown,11,44,30,80,112,103,12.0,0,1
15.6,1000.0,50.0,2018.0,서그내로53번길 33,다세대,37.24111925,127.070438,11,19,2195,20,1,106,0,,0,,0,,0,,0,,1,148,3,70.0,0,,0.0,,12.0,2.0,서그내로53번길 31,1909.090909090909,Unknown,11,23,31,64,111,103,15.0,1,4
36.13,15000.0,15.0,2019.0,서그내로62번길 35,다세대,37.242482,127.0682545,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,15272.727272727272,동향,11,28,38,44,131,101,15.0,0,2
47.7,15000.0,30.0,2015.0,서그내로 43,다세대,37.24308982,127.074183,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,15545.454545454546,서향,11,44,27,85,113,103,13.0,2,2
21.715,1000.0,60.0,2014.0,서그내로 30,다세대,37.24457167,127.0738645,3,14,1704,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,14.0,4.0,서그내로 30,2090.909090909091,동향,14,45,37,82,133,102,12.0,1,4
23.28,500.0,47.0,2015.0,서그내로62번길 33,다세대,37.24243355,127.0687739,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,1354.5454545454545,Unknown,11,28,38,44,131,101,15.0,0,2
14.04,1000.0,35.0,2014.0,서그내로53번길 3-7,다세대,37.24236467,127.0740844,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,1636.3636363636365,동향,11,44,27,85,113,103,13.0,0,4
13.2,300.0,34.0,2012.0,서그내로16번길 27,다세대,37.245079,127.0705474,13,17,1632,18,3,39,0,,0,,0,,0,,1,112.0,7,28,15,107.0,0,,0.0,,37.0,27.0,서그내로16번길 27,918.181818181818,동향,10,21,39,75,137,101,16.0,0,0
22.06,1000.0,60.0,2014.0,서그내로 30,다세대,37.24457167,127.0738645,3,14,1704,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,14.0,4.0,서그내로 30,2090.909090909091,동향,14,45,37,82,133,102,12.0,1,4
15.09,500.0,42.0,2014.0,서그내로53번길 3-7,다세대,37.24236467,127.0740844,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,1263.6363636363635,동향,11,44,27,85,113,103,13.0,0,4
12.96,575.0,36.8,2014.0,서그내로53번길 3-9,다세대,37.24240803,127.0742087,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,1244.090909090909,동향,11,44,27,85,113,103,13.0,1,4
14.13,11500.0,0.0,2024.0,예현로35번길 32,다세대,37.24137365,127.0662886,1,23,2168,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,36.0,26.0,예현로35번길 32,11500.0,Unknown,13,11,31,29,138,90,12.0,2,4
15.09,575.0,48.3,2014.0,서그내로53번길 3-7,다세대,37.24236467,127.0740844,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,1453.181818181818,동향,11,44,27,85,113,103,13.0,0,4
15.6,1150.0,58.65,2018.0,서그내로53번길 33,다세대,37.24111925,127.070438,11,19,2195,20,1,106,0,,0,,0,,0,,0,,1,148,3,70.0,0,,0.0,,12.0,2.0,서그내로53번길 31,2216.363636363636,Unknown,11,23,31,64,111,103,15.0,1,4
37.43,9200.0,55.2,2023.0,서그내로53번길 3-5,다세대,37.24231621,127.073921,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,10203.636363636364,서향,11,44,27,85,113,103,13.0,0,3
25.19,6900.0,19.55,2015.0,서그내로 46,다세대,37.2431637,127.0736001,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,7255.454545454545,서향,11,44,27,85,113,103,13.0,2,2
33.61,764.75,23.0,2024.0,예현로35번길 28,다세대,37.24172813,127.0663795,1,23,2168,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,36.0,26.0,예현로35번길 32,1182.9318181818182,Unknown,13,11,31,29,138,90,12.0,0,4
14.51,4600.0,64.4,2022.0,덕영대로 1698,연립,37.24679011,127.0765128,14,14,833,11,3,27,0,,0,,0,,1,77.0,2,146.0,15,36,15,11.0,1,158.0,1.0,84.0,17.0,7.0,덕영대로 1698,5770.909090909091,Unknown,21,29,44,48,119,99,17.0,0,3
14.51,4600.0,64.4,2022.0,덕영대로 1698,연립,37.24679011,127.0765128,14,14,833,11,3,27,0,,0,,0,,1,77.0,2,146.0,15,36,15,11.0,1,158.0,1.0,84.0,17.0,7.0,덕영대로 1698,5770.909090909091,Unknown,21,29,44,48,119,99,17.0,0,3
22.06,1150.0,69.0,2014.0,서그내로 30,다세대,37.24457167,127.0738645,3,14,1704,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,14.0,4.0,서그내로 30,2404.5454545454545,동향,14,45,37,82,133,102,12.0,1,4
22.06,1150.0,69.0,2014.0,서그내로 30,다세대,37.24457167,127.0738645,3,14,1704,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,14.0,4.0,서그내로 30,2404.5454545454545,동향,14,45,37,82,133,102,12.0,1,4
36.13,19550.0,0.0,2019.0,서그내로62번길 35,다세대,37.242482,127.0682545,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,19550.0,동향,11,28,38,44,131,101,15.0,0,2
12.4,575.0,46.0,2014.0,서그내로53번길 3-9,연립,37.24240803,127.0742087,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,1411.3636363636365,동향,11,44,27,85,113,103,13.0,1,4
15.6,1150.0,59.8,2018.0,서그내로53번길 33,다세대,37.24111925,127.070438,11,19,2195,20,1,106,0,,0,,0,,0,,0,,1,148,3,70.0,0,,0.0,,12.0,2.0,서그내로53번길 31,2237.272727272727,Unknown,11,23,31,64,111,103,15.0,1,4
19.29,18400.0,0.0,2023.0,서그내로53번길 3-5,다세대,37.24231621,127.073921,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,18400.0,서향,11,44,27,85,113,103,13.0,0,3
17.5,2300.0,57.5,2015.0,서그내로 43,다세대,37.24308982,127.074183,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,3345.454545454545,서향,11,44,27,85,113,103,13.0,2,2
20.65,2300.0,28.75,2015.0,서그내로 46,다세대,37.2431637,127.0736001,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,2822.727272727273,서향,11,44,27,85,113,103,13.0,2,2
15.89,575.0,48.3,2014.0,서그내로53번길 3-7,다세대,37.24236467,127.0740844,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,1453.181818181818,동향,11,44,27,85,113,103,13.0,0,4
12.4,575.0,42.55,2014.0,서그내로53번길 3-9,다세대,37.24240803,127.0742087,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,1348.6363636363635,동향,11,44,27,85,113,103,13.0,1,4
