Area_m2,Deposit,Monthly_Rent,School_Walk_Min,Transit_Min,Conv_Count,Subway_Count,Bank_Count,Hosp_Count,Pharm_Count,School_Count_Near,Cafe_Count,Rest_Count,Mart_Count,Parking_Count,Price_Hwansan,House_Age,House_Type_Multi_Family,House_Type_Multi_Unit,House_Type_Row_House,House_Type_Single_House,House_Type_Villa,Rent_Type_Jeonse,Rent_Type_Monthly,Orientation_East,Orientation_South,Orientation_West
25.19,6900.0,19.55,14,13,2,0,0,0,0,1,3,7,0,0.0,8855.0,11.0,False,True,False,False,False,False,True,False,False,True
33.61,764.75,23.0,23,21,2,0,0,0,0,0,3,6,0,0.0,3064.75,2.0,False,True,False,False,False,False,True,False,False,False
14.51,4600.0,64.4,14,11,3,0,0,0,1,2,15,15,1,1.0,11040.0,4.0,False,False,True,False,False,False,True,False,False,False
14.51,4600.0,64.4,14,11,3,0,0,0,1,2,15,15,1,1.0,11040.0,4.0,False,False,True,False,False,False,True,False,False,False
22.06,1150.0,69.0,14,13,2,0,0,0,0,1,3,7,0,0.0,8050.0,12.0,False,True,False,False,False,False,True,True,False,False
22.06,1150.0,69.0,14,13,2,0,0,0,0,1,3,7,0,0.0,8050.0,12.0,False,True,False,False,False,False,True,True,False,False
36.13,19550.0,0.0,23,21,2,0,0,0,0,0,3,6,0,0.0,19550.0,7.0,False,True,False,False,False,True,False,True,False,False
12.4,575.0,46.0,14,13,2,0,0,0,0,1,3,7,0,0.0,5175.0,12.0,False,False,True,False,False,False,True,True,False,False
15.6,1150.0,59.8,19,20,1,0,0,0,0,0,1,3,0,0.0,7130.0,8.0,False,True,False,False,False,False,True,False,False,False
19.29,18400.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,18400.0,3.0,False,True,False,False,False,True,False,False,False,True
17.5,2300.0,57.5,14,13,2,0,0,0,0,1,3,7,0,0.0,8050.0,11.0,False,True,False,False,False,False,True,False,False,True
20.65,2300.0,28.75,14,13,2,0,0,0,0,1,3,7,0,0.0,5175.0,11.0,False,True,False,False,False,False,True,False,False,True
15.89,575.0,48.3,14,13,2,0,0,0,0,1,3,7,0,0.0,5405.0,12.0,False,True,False,False,False,False,True,True,False,False
12.4,575.0,42.55,14,13,2,0,0,0,0,1,3,7,0,0.0,4830.0,12.0,False,True,False,False,False,False,True,True,False,False
17.5,2300.0,37.95,14,13,2,0,0,0,0,1,3,7,0,0.0,6095.0,11.0,False,True,False,False,False,False,True,False,False,True
17.5,2300.0,37.95,14,13,2,0,0,0,0,1,3,7,0,0.0,6095.0,11.0,False,True,False,False,False,False,True,False,False,True
36.06,447.35,29.9,23,21,2,0,0,0,0,0,3,6,0,0.0,3437.35,7.0,False,True,False,False,False,False,True,True,False,False
27.68,4945.0,63.25,17,18,3,0,0,0,0,1,7,15,0,0.0,11270.0,4.0,False,True,False,False,False,False,True,False,False,False
17.0,345.0,57.5,23,21,2,0,0,0,0,0,3,6,0,0.0,6095.0,11.0,False,True,False,False,False,False,True,True,False,False
88.95,3450.0,177.1,17,18,3,0,0,0,0,1,7,15,0,0.0,21160.0,4.0,False,True,False,False,False,False,True,False,False,False
23.05,4600.0,63.25,17,18,3,0,0,0,0,1,7,15,0,0.0,10925.0,4.0,False,True,False,False,False,False,True,False,False,False
18.36,575.0,50.6,23,21,2,0,0,0,0,0,3,6,0,0.0,5635.0,11.0,False,True,False,False,False,False,True,False,False,False
15.39,1150.0,50.6,19,20,1,0,0,0,0,0,1,3,0,0.0,6210.0,8.0,False,True,False,False,False,False,True,False,False,False
23.19,575.0,48.3,23,21,2,0,0,0,0,0,3,6,0,0.0,5405.0,11.0,False,True,False,False,False,False,True,False,False,False
36.13,19550.0,0.0,23,21,2,0,0,0,0,0,3,6,0,0.0,19550.0,7.0,False,True,False,False,False,True,False,True,False,False
36.05,20700.0,0.0,23,21,2,0,0,0,0,0,3,6,0,0.0,20700.0,2.0,False,True,False,False,False,True,False,False,False,False
21.715,1150.0,64.4,14,13,2,0,0,0,0,1,3,7,0,0.0,7590.000000000001,12.0,False,True,False,False,False,False,True,True,False,False
21.715,1150.0,64.4,14,13,2,0,0,0,0,1,3,7,0,0.0,7590.000000000001,12.0,False,True,False,False,False,False,True,True,False,False
29.98,4945.0,48.3,17,18,3,0,0,0,0,1,7,15,0,0.0,9775.0,4.0,False,True,False,False,False,False,True,False,False,False
16.48,4600.0,70.15,14,11,3,0,0,0,1,2,15,15,1,1.0,11615.0,4.0,False,False,True,False,False,False,True,False,False,False
14.54,2300.0,69.0,14,11,3,0,0,0,1,2,15,15,1,1.0,9200.0,4.0,False,False,True,False,False,False,True,False,False,False
20.67,5750.0,55.2,14,13,2,0,0,0,0,1,3,7,0,0.0,11270.0,3.0,False,True,False,False,False,False,True,False,False,True
13.3,345.0,39.1,17,18,3,0,0,0,0,1,7,15,0,0.0,4255.0,14.0,False,True,False,False,False,False,True,True,False,False
15.09,345.0,46.0,14,13,2,0,0,0,0,1,3,7,0,0.0,4945.0,14.0,False,True,False,False,False,False,True,False,False,True
13.6,1150.0,57.5,14,13,2,0,0,0,0,1,3,7,0,0.0,6900.0,13.0,False,True,False,False,False,False,True,False,False,True
20.67,8050.0,49.45,14,13,2,0,0,0,0,1,3,7,0,0.0,12995.0,3.0,False,True,False,False,False,False,True,False,False,True
38.85,15697.5,0.0,23,21,2,0,0,0,0,0,3,6,0,0.0,15697.5,11.0,False,True,False,False,False,True,False,False,False,False
25.97,1150.0,60.95,14,13,2,0,0,0,0,1,3,7,0,0.0,7245.0,11.0,False,True,False,False,False,False,True,False,False,True
13.42,345.0,37.95,17,18,3,0,0,0,0,1,7,15,0,0.0,4140.0,14.0,False,True,False,False,False,False,True,True,False,False
38.85,15697.5,0.0,23,21,2,0,0,0,0,0,3,6,0,0.0,15697.5,11.0,False,True,False,False,False,True,False,False,False,False
18.59,3450.0,69.0,23,21,2,0,0,0,0,0,3,6,0,0.0,10350.0,2.0,False,True,False,False,False,False,True,False,False,False
17.5,1150.0,62.1,14,13,2,0,0,0,0,1,3,7,0,0.0,7360.0,11.0,False,True,False,False,False,False,True,False,False,True
14.61,575.0,46.0,14,13,2,0,0,0,0,1,3,7,0,0.0,5175.0,12.0,False,True,False,False,False,False,True,True,False,False
38.85,11500.0,69.0,19,20,1,0,0,0,0,0,1,3,0,0.0,18400.0,3.0,False,True,False,False,False,False,True,False,False,False
23.19,575.0,50.6,23,21,2,0,0,0,0,0,3,6,0,0.0,5635.0,11.0,False,True,False,False,False,False,True,False,False,False
20.705,1150.0,64.4,14,13,2,0,0,0,0,1,3,7,0,0.0,7590.000000000001,12.0,False,True,False,False,False,False,True,True,False,False
21.715,1150.0,64.4,14,13,2,0,0,0,0,1,3,7,0,0.0,7590.000000000001,12.0,False,True,False,False,False,False,True,True,False,False
47.7,17825.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,17825.0,11.0,False,True,False,False,False,True,False,False,False,True
21.715,1150.0,64.4,14,13,2,0,0,0,0,1,3,7,0,0.0,7590.000000000001,12.0,False,True,False,False,False,False,True,True,False,False
37.43,11500.0,49.45,14,13,2,0,0,0,0,1,3,7,0,0.0,16445.0,3.0,False,True,False,False,False,False,True,False,False,True
21.48,230.0,40.25,23,21,2,0,0,0,0,0,3,6,0,0.0,4255.0,28.0,False,True,False,False,False,False,True,False,False,False
21.21,1150.0,64.4,14,13,2,0,0,0,0,1,3,7,0,0.0,7590.000000000001,12.0,False,True,False,False,False,False,True,True,False,False
14.51,4600.0,64.4,14,11,3,0,0,0,1,2,15,15,1,1.0,11040.0,4.0,False,False,True,False,False,False,True,False,False,False
42.25,14375.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,14375.0,12.0,False,True,False,False,False,True,False,False,False,False
42.25,14375.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,14375.0,12.0,False,True,False,False,False,True,False,False,False,False
20.64,11500.0,11.5,19,20,1,0,0,0,0,0,1,3,0,0.0,12650.0,3.0,False,True,False,False,False,False,True,False,False,False
17.0,575.0,49.45,23,21,2,0,0,0,0,0,3,6,0,0.0,5520.0,11.0,False,True,False,False,False,False,True,True,False,False
13.0,345.0,46.0,14,13,2,0,0,0,0,1,3,7,0,0.0,4945.0,14.0,False,True,False,False,False,False,True,False,False,True
20.64,9200.0,34.5,19,20,1,0,0,0,0,0,1,3,0,0.0,12650.0,3.0,False,True,False,False,False,False,True,False,False,False
20.64,11500.0,11.5,19,20,1,0,0,0,0,0,1,3,0,0.0,12650.0,3.0,False,True,False,False,False,False,True,False,False,False
47.475,19550.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,19550.0,13.0,False,True,False,False,False,True,False,False,False,False
37.43,9200.0,55.2,14,13,2,0,0,0,0,1,3,7,0,0.0,14720.0,3.0,False,True,False,False,False,False,True,False,False,True
50.89,19550.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,19550.0,11.0,False,True,False,False,False,True,False,False,False,True
50.89,19550.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,19550.0,11.0,False,True,False,False,False,True,False,False,False,True
15.39,1150.0,50.6,19,20,1,0,0,0,0,0,1,3,0,0.0,6210.0,8.0,False,True,False,False,False,False,True,False,False,False
23.21,5750.0,64.4,19,20,1,0,0,0,0,0,1,3,0,0.0,12190.0,3.0,False,True,False,False,False,False,True,False,False,False
19.7272,17250.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,17250.0,6.0,False,True,False,False,False,True,False,False,False,False
21.715,1150.0,64.4,14,13,2,0,0,0,0,1,3,7,0,0.0,7590.000000000001,12.0,False,True,False,False,False,False,True,True,False,False
20.65,9200.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,9200.0,11.0,False,True,False,False,False,True,False,False,False,True
19.3984,8050.0,34.5,17,18,3,0,0,0,0,1,7,15,0,0.0,11500.0,6.0,False,True,False,False,False,False,True,False,False,False
19.3984,14950.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,14950.0,6.0,False,True,False,False,False,True,False,False,False,False
19.3984,14950.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,14950.0,6.0,False,True,False,False,False,True,False,False,False,False
19.3984,5750.0,46.0,17,18,3,0,0,0,0,1,7,15,0,0.0,10350.0,6.0,False,True,False,False,False,False,True,False,False,False
14.09,1150.0,57.5,14,13,2,0,0,0,0,1,3,7,0,0.0,6900.0,13.0,False,True,False,False,False,False,True,False,False,True
16.39,3450.0,72.45,14,11,3,0,0,0,1,2,15,15,1,1.0,10695.0,4.0,False,False,True,False,False,False,True,False,False,False
44.52,14375.0,6.9,17,18,3,0,0,0,0,1,7,15,0,0.0,15065.0,4.0,False,True,False,False,False,False,True,False,False,False
44.52,14375.0,6.9,17,18,3,0,0,0,0,1,7,15,0,0.0,15065.0,4.0,False,True,False,False,False,False,True,False,False,False
30.3,18360.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,18360.0,6.0,False,False,False,False,True,True,False,False,False,False
35.09,4125.9,12.24,23,21,2,0,0,0,0,0,3,6,0,0.0,5349.9,7.0,False,False,False,False,True,False,True,True,False,False
25.19,1020.0,51.0,14,13,2,0,0,0,0,1,3,7,0,0.0,6120.0,11.0,False,False,False,False,True,False,True,False,False,True
13.0,306.0,40.8,14,13,2,0,0,0,0,1,3,7,0,0.0,4386.0,14.0,False,False,False,False,True,False,True,False,False,True
17.5,1020.0,47.94,14,13,2,0,0,0,0,1,3,7,0,0.0,5814.0,11.0,False,False,False,False,True,False,True,False,False,True
21.43,1020.0,42.84,14,13,2,0,0,0,0,1,3,7,0,0.0,5304.0,11.0,False,False,False,False,True,False,True,False,False,True
14.09,7140.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,7140.0,13.0,False,False,False,False,True,True,False,False,False,True
14.09,6630.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,6630.0,13.0,False,False,False,False,True,True,False,False,False,True
