,Area_m2,School_Walk_Min,Subway_Count,School_Count_Near,Mart_Count,Price_Hwansan,House_Age,Life_Infra_Score,Pharm_Parking_Sum,House_Type_Multi_Family,House_Type_Multi_Unit,House_Type_Row_House,House_Type_Single_House,House_Type_Villa,Rent_Type_Jeonse,Orientation_East,Orientation_South,Orientation_West
64,18.36,23,0,0,0,5635.0,11.0,11,0.0,False,True,False,False,False,False,False,False,False
65,15.39,19,0,0,0,6210.0,8.0,5,0.0,False,True,False,False,False,False,False,False,False
66,23.19,23,0,0,0,5405.0,11.0,11,0.0,False,True,False,False,False,False,False,False,False
67,36.13,23,0,0,0,19550.0,7.0,11,0.0,False,True,False,False,False,True,True,False,False
68,36.05,23,0,0,0,20700.0,2.0,11,0.0,False,True,False,False,False,True,False,False,False
69,21.715,14,0,1,0,7590.000000000001,12.0,12,0.0,False,True,False,False,False,False,True,False,False
70,21.715,14,0,1,0,7590.000000000001,12.0,12,0.0,False,True,False,False,False,False,True,False,False
71,29.98,17,0,1,0,9775.0,4.0,25,0.0,False,True,False,False,False,False,False,False,False
72,16.48,14,0,2,1,11615.0,4.0,33,2.0,False,False,True,False,False,False,False,False,False
73,14.54,14,0,2,1,9200.0,4.0,33,2.0,False,False,True,False,False,False,False,False,False
74,20.67,14,0,1,0,11270.0,3.0,12,0.0,False,True,False,False,False,False,False,False,True
75,13.3,17,0,1,0,4255.0,14.0,25,0.0,False,True,False,False,False,False,True,False,False
76,15.09,14,0,1,0,4945.0,14.0,12,0.0,False,True,False,False,False,False,False,False,True
77,13.6,14,0,1,0,6900.0,13.0,12,0.0,False,True,False,False,False,False,False,False,True
78,20.67,14,0,1,0,12995.0,3.0,12,0.0,False,True,False,False,False,False,False,False,True
79,38.85,23,0,0,0,15697.5,11.0,11,0.0,False,True,False,False,False,True,False,False,False
80,25.97,14,0,1,0,7245.0,11.0,12,0.0,False,True,False,False,False,False,False,False,True
81,13.42,17,0,1,0,4140.0,14.0,25,0.0,False,True,False,False,False,False,True,False,False
82,38.85,23,0,0,0,15697.5,11.0,11,0.0,False,True,False,False,False,True,False,False,False
